Topic,Claim,Status,Primary Source,Source Date,Checked Date,Confidence,Implementation Impact,Notes
Program,FutureEval is Metaculus's current AI forecasting benchmark brand.,Verified,https://www.metaculus.com/futureeval/methodology/,Current page,2026-07-09,High,Use FutureEval naming in docs and metadata.,Former AIB naming remains in some code/URLs.
MiniBench cadence,"MiniBench is a back-to-back, approximately two-week rapid-feedback series.",Verified,https://www.metaculus.com/aib/minibench/,Current page,2026-07-09,High,Architecture should support fast configuration changes and replay.,Public copy calls it bi-weekly.
Active MiniBench,Current series runs 2026-06-29 through 2026-07-18.,Verified,https://www.metaculus.com/tournament/minibench/,Current page,2026-07-09,High,Immediate target window.,Dates shown on public series page.
Active MiniBench,"Current series lists 59 questions and a USD 1,000 prize pool.",Verified,https://www.metaculus.com/tournament/minibench/,Current page,2026-07-09,High,Batch size and external feedback context.,"59 is series count, not verified open/eligible count."
Eligible count,Exact currently open and bot-eligible question count is not established by the public page.,Unresolved,https://www.metaculus.com/tournament/minibench/,Current page,2026-07-09,High,Must fetch under bot token before sizing a run.,Do not equate series count with eligible count.
Seasonal tournament,"Summer 2026 FutureEval runs 2026-05-18 through 2026-09-06 with USD 50,000 prize pool.",Verified,https://www.metaculus.com/tournament/summer-futureeval-2026/,Current page,2026-07-09,High,Secondary venue and future expansion path.,Page listed 212 questions when checked.
Participation,"Create an account, create a bot, copy its access token, then run a bot/template.",Verified,https://www.metaculus.com/futureeval/participate/,Current page,2026-07-09,High,Owner must create bot/token.,Human account action required.
Model credits,"Metaculus states seasonal-tournament inference costs are covered by OpenAI, Anthropic and Google.",Verified,https://www.metaculus.com/futureeval/participate/,Current page,2026-07-09,Medium,May reduce seasonal cost.,Does not establish MiniBench coverage.
Model credits,Free inference for MiniBench was not established by the reviewed official pages.,Unresolved,https://www.metaculus.com/futureeval/participate/,Current page,2026-07-09,High,Owner must authorize/fund v1 model route.,Treat as paid until confirmed.
Administration,The Summer announcement states a survey is required for prizes.,Verified,https://www.metaculus.com/notebooks/43340/summer-futureeval-announcement/,2026-05-01,2026-07-09,Medium,Track tournament-specific admin requirements.,Exact deadline not captured in public extract.
MiniBench admin,"MiniBench-specific eligibility, payout and post-round steps were not fully verified.",Unresolved,https://www.metaculus.com/notebooks/38928/futureeval-resources-page/,Edited 2026-07-07,2026-07-09,High,Owner rule check before live batch.,Do not assume seasonal rules are identical.
Scoring,Metaculus scores are underpinned by proper log scores; Peer score compares log score with other forecasts.,Verified,https://www.metaculus.com/help/scores-faq/,Current page,2026-07-09,High,Retain log/peer/platform scores and avoid unjustified extremes.,Local attribution also records Brier where applicable.
Scoring,Forecasts are time-averaged and coverage rewards earlier active predictions.,Verified,https://www.metaculus.com/help/scores-faq/,Current page,2026-07-09,High,"After safe pipeline, batch promptly rather than waiting for perfect research.",Human approval remains required initially.
Question types,Binary questions are present in the active MiniBench.,Verified,https://www.metaculus.com/questions/44303/,Current question,2026-07-09,High,Binary path required for Milestone 1.,Public question tagged MiniBench.
Question types,Numeric questions are present in the active MiniBench.,Verified,https://www.metaculus.com/questions/44327/,Current question,2026-07-09,High,Numeric path/CDF required for batch completeness.,Public question tagged MiniBench.
Question types,Presence/count of multiple-choice questions in the active MiniBench was not verified.,Unresolved,https://www.metaculus.com/tournament/minibench/,Current page,2026-07-09,Medium,Implement MC defensively because package/seasonal venue supports it.,Confirm by authenticated fetch.
Question types,Presence/count of group posts in the active MiniBench was not verified.,Unresolved,https://www.metaculus.com/tournament/minibench/,Current page,2026-07-09,Medium,Use unpack_subquestions and retain parent identity.,Confirm by authenticated fetch.
Package,"Latest PyPI release checked is forecasting-tools 0.2.92, released 2026-05-27.",Verified,https://pypi.org/project/forecasting-tools/,2026-05-27,2026-07-09,High,Pin exact v1 version.,Project is beta/experimental.
Package,Package requires Python >=3.11 and <4.0.,Verified,https://pypi.org/project/forecasting-tools/,2026-05-27,2026-07-09,High,Use Python 3.11 baseline.,PyPI classifiers include 3.11-3.14.
Package,Installation is `pip install forecasting-tools`.,Verified,https://pypi.org/project/forecasting-tools/,2026-05-27,2026-07-09,High,Use pinned equivalent in pyproject.,Do not float in CI.
Authentication,MetaculusClient reads METACULUS_TOKEN and sends Token authentication.,Verified,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/helpers/metaculus_client.py,Current source,2026-07-09,High,Secret/env validation required.,Never log token.
Tournament ID,CURRENT_MINIBENCH_ID is the string `minibench`.,Verified,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/helpers/metaculus_client.py,Current source,2026-07-09,High,Config default/alias; permit override.,Rotating SDK constants require checks.
Tournament ID,Summer 2026 FutureEval tournament ID is 33022.,Verified,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/helpers/metaculus_client.py,Current source,2026-07-09,High,Secondary target metadata.,CURRENT_AI_COMPETITION_ID points to it.
Fetching,get_all_open_questions_from_tournament accepts int|string ID and defaults group mode to unpack_subquestions.,Verified,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/helpers/metaculus_client.py,Current source,2026-07-09,High,Use package fetch/normalization path.,Method is synchronous and internally runs async filter.
Supported types,"Package question models support binary, multiple-choice, numeric and date; current template also handles conditional types.",Verified,https://github.com/Metaculus/forecasting-tools | https://github.com/Metaculus/metac-bot-template/blob/main/main.py,Current source,2026-07-09,High,V1 supports first three; date/conditional deferred.,Summer template says date/conditional are not used in Summer tournament.
Numeric CDF,Normal numeric forecasts use a 201-point CDF.,Verified,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/data_models/numeric_report.py,Current source,2026-07-09,High,Use NumericDistribution conversion/validation.,Do not ask model for 201 raw points.
Numeric CDF,Maintained standardization caps maximum adjacent inbound PMF at 0.2 for the default 200 inbound outcomes.,Verified,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/data_models/numeric_report.py,Current source,2026-07-09,High,Add contract tests around package behavior.,Validator uses 0.95 wiggle room internally.
Binary bounds,Public client posting method requires probability between 0.001 and 0.999.,Verified,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/helpers/metaculus_client.py,Current source,2026-07-09,High,Config and schema bounds must agree.,Inclusive values accepted by guard.
Submission response,Public posting methods return None and raise on failure; they do not expose the HTTP response.,Verified,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/helpers/metaculus_client.py,Current source,2026-07-09,High,Submission seam and verification spike required.,Do not claim complete receipt from SDK alone.
Retries/pacing,Client posting uses retry_with_exponential_backoff; default request spacing is 3.5s with 1s jitter and 30s timeout.,Verified,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/helpers/metaculus_client.py,Current source,2026-07-09,Medium,Reuse defaults/configure explicitly; handle uncertain timeouts.,Exact service rate limits are not published here.
Community prediction,Binary question models can capture community_prediction_at_access_time when API aggregation data is available.,Verified,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/data_models/questions.py,Current source,2026-07-09,Medium,Log snapshot after independent v1 forecast.,Do not use as baseline model input in v1.
Retrieval,"AskNews returns article-level URLs, publication dates and summaries and is used by standard FutureEval bots.",Verified,https://docs.asknews.app/ | https://www.metaculus.com/futureeval/methodology/,Current pages,2026-07-09,High,Primary retrieval path.,Retain raw provider response for provenance.
Retrieval cost,AskNews `/news` costs 1 credit for last 48h and 5 credits for archive under current docs.,Verified,https://docs.asknews.app/en/rate-limiting,Current page,2026-07-09,Medium,Cost-aware query planning and cache.,Plan/rate limits vary.
Retrieval fallback,"Exa advertises a 20,000-request/month free tier; search is USD 7 per 1,000 requests.",Verified,https://exa.ai/pricing,Current page,2026-07-09,Medium,Practical fallback with low v1 integration burden.,Owner account availability still required.
Retrieval comparator,"Tavily offers 1,000 free credits/month; basic search costs 1 credit and PAYG is USD 0.008/credit.",Verified,https://docs.tavily.com/documentation/api-credits,Current page,2026-07-09,Medium,"Comparator, not selected v1 fallback.",Would add another SDK/provider path.
Trends,Google Trends API remains an invitation-only alpha.,Verified,https://developers.google.com/search/apis/trends,Current page,2026-07-09,High,Do not make Trends a v1 dependency.,Apply only as optional structured source after access.
Canada access,No provider-specific Canadian access restriction was established for AskNews/Exa/Tavily.,Unresolved,https://docs.asknews.app/ | https://exa.ai/pricing | https://docs.tavily.com/documentation/api-credits,Current pages,2026-07-09,Low,Owner must confirm account creation/billing from Alberta.,Absence of a published restriction is not proof of access.
